"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Euro area","EMU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.61","31.88","33.75","37.36","36.61","35.35","34.18","32.76","26.63","26.89","27.98","26.84","24.62","22.86","20.87","19.89","18.695","",
"Eritrea","ERI","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.43","99.19","101.83","104.34","103.97","99.3","95.93","88.42","83.89","73.61","69.68","67.51","61.81","58.57","55.11","49.6","45.53","",
"Estonia","EST","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.41","20.88","22.63","24.02","23.82","20.28","19.47","17.35","16.02","13.95","12.39","11.15","10.42","10.06","9.68","8.93","7.92","",
"Ethiopia","ETH","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","0.92","0.95","1.09","1.21","1.33","1.37","1.91","2.94","","","","","","","","","",
"European Union","EUU","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.665","29.865","32.55","33.295","35.36","35.35","34.18","32.76","33.2","30.01","27.98","26.84","24.62","22.86","21.26","23.42","20.865","",
"Fragile and conflict affected situations","FCS","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.79","1.83","1.96","2.01","1.99","2.16","2.33","2.54","2.745","3.16","3.2","3.315","3.245","3.32","3.37","3.75","3.925","",
"Finland","FIN","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.17","14.41","16.95","16.09","16.02","14.97","15.5","17.02","15.5","14.1","9.42","8.49","7.31","6.46","4.8","4.49","4.02","",
"Fiji","FJI","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.26","9.64","10.58","11.29","11.61","11.27","11.14","10.94","10.6","11.28","12.62","12.8","12.4","12.15","11.88","11.28","10.69","",
"France","FRA","Commercial bank branches (per 100,000 adults)","FB.CBK.BRCH.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.58","22.01","45.91","44.91","44.58","41.94","41.59","41.39","39","38.63","38.06","37.6","37.19","35.98","34.79","34.17","33.2","",
